Regime,Null_Model,CEFI_Obs,q_Obs,E_CEFI_0,Std_0,Q95_0,Z_Deviation,p_emp,Modal_q_0
Calm Period (2005),circular,1.0544852696114628,4,0.04488685017411169,0.0293845814945871,0.08560390805875795,34.35810102054127,0.001,28
Calm Period (2005),diagonal,1.0544852696114628,4,0.0256472342885339,0.004377139743365065,0.03307127101400752,235.0480212294929,0.001,29
Calm Period (2005),static,1.0544852696114628,4,0.7595326006923536,0.13946271788547776,1.0220392851969757,2.1149212735213916,0.038,3
Calm Period (2005),diag_contemp,1.0544852696114628,4,0.8892002108367124,0.12191758762043285,1.0958245474849893,1.3557113620828352,0.1,4
2008 GFC Peak,circular,1.7052937591341748,2,0.05465607035573631,0.04933079588623211,0.1377780352252019,33.460593106690986,0.001,29
2008 GFC Peak,diagonal,1.7052937591341748,2,0.02300185997893944,0.004711954467924338,0.029791839885451792,357.0263487491426,0.001,29
2008 GFC Peak,static,1.7052937591341748,2,1.2168512665260538,0.17326406910196857,1.5620327794695221,2.8190639590754683,0.017,4
2008 GFC Peak,diag_contemp,1.7052937591341748,2,1.4440737492218392,0.12673226804674578,1.6670521013230204,2.0611957312717184,0.024,3
2020 COVID Shock,circular,1.4477376961115491,2,0.030748442046263338,0.026569017320104568,0.08528546706873963,53.332392274555865,0.001,29
2020 COVID Shock,diagonal,1.4477376961115491,2,0.005942391971266681,0.0021751103288962237,0.009349543383470684,662.8607684796993,0.001,29
2020 COVID Shock,static,1.4477376961115491,2,0.9921120666254252,0.20627027341867024,1.4142549356337966,2.2088768387936004,0.04,2
2020 COVID Shock,diag_contemp,1.4477376961115491,2,1.2929648752228886,0.12336408802443431,1.4816082885957693,1.2546019134677604,0.115,3
