,cefi_A,q_A,delta_J_liu,q_liu,cefi_svd,q_svd,cefi_B,q_B,subspace_dist,objective_gap
1991-12-20,0.5965301788762583,1,0.1070940000102541,2,0.6639771768201488,1,0.40508438496197974,2,1.2755739097638505,0.06744699794389053
1992-01-07,0.6468165960200035,1,0.05022933904545687,7,0.663879142262582,1,0.22431783712309497,4,1.2491475122410973,0.017062546242578525
1992-01-21,0.630351371850558,1,0.0738120661956996,5,0.6583550751694356,1,0.23972491639606108,2,1.2668286713927017,0.028003703318877582
1992-02-04,0.5496553173295656,1,0.07043092822466121,6,0.6402405514338139,1,0.2182186516142098,6,1.2625281420573813,0.09058523410424824
1992-02-19,0.5486513615795942,1,0.06403678873287597,4,0.6318455293233693,1,0.20646381283017598,4,1.3011189305974482,0.0831941677437752
1992-03-04,0.5443345736313436,1,0.05119503276124615,6,0.6220698897614428,1,0.1718138610817964,6,1.2656836175768154,0.07773531613009921
1992-03-18,0.5602300971296097,1,0.12847958402049747,3,0.6005503852248657,1,0.4011678017506932,3,1.2392096096360206,0.04032028809525601
1992-04-01,0.5689736623667531,1,0.035187731814959794,9,0.5920514754491564,1,0.12529593526614394,5,1.2174192492890161,0.02307781308240331
1992-04-15,0.5731308169231308,1,0.032519165952986206,9,0.5910795586048021,1,0.20108292570465494,3,1.1889529591063157,0.017948741681671265
1992-04-30,0.5606790466277458,1,0.04480550642751621,9,0.5888259568004446,1,0.16064317791838165,5,1.2027433870501607,0.02814691017269877
1992-05-14,0.561123291707637,1,0.05964845712598871,5,0.5602830121730357,1,0.2584462820101895,4,1.2127600016233189,0.000840279534601307
1992-05-29,0.5800021842450267,1,0.08835305254266371,5,0.5698077078409564,1,0.26442283972903863,5,1.14734418398034,0.01019447640407034
1992-06-12,0.5787710319262902,1,0.049701933320036695,3,0.5492415215145987,1,0.24296414598420749,3,1.1330303212216954,0.029529510411691495
1992-06-26,0.5701790083233973,1,0.028372332722919058,2,0.566856469226382,1,0.2676128243912035,2,1.1397098359302045,0.003322539097015298
1992-07-13,0.5864936982199153,1,0.030781377310548308,1,0.56040476874591,1,0.14107946128619675,4,1.1222058666165748,0.026088929474005207
1992-07-27,0.5882963573326916,1,0.13105826116583402,3,0.5589764403277847,1,0.3623716349810993,3,1.0899265440319161,0.02931991700490688
1992-08-10,0.5801760463238592,1,0.07940521788734475,5,0.5676486227248293,1,0.21495223235261474,5,1.0598868719417458,0.012527423599029919
1992-08-24,0.5851657964992343,1,0.046258078629233645,1,0.5508169123575943,1,0.12223846700277546,5,1.0821698874275074,0.034348884141639946
1992-09-08,0.5714118548556457,1,0.04507581648180542,5,0.5386660464359782,1,0.14840146076292504,5,1.0596562893713637,0.032745808419667566
1992-09-22,0.5353791615369705,1,0.09135029956745959,3,0.5493481057778884,1,0.19258198405450744,3,1.2057250586674964,0.01396894424091788
1992-10-06,0.47969644582213133,1,0.012318664441747479,6,0.5409933602369661,1,0.0673566184968043,6,1.195386031544231,0.06129691441483476
1992-10-20,0.44140449959101663,1,0.040263415629083255,4,0.5206808857544918,1,0.14826413340743244,4,1.2297240662051607,0.07927638616347515
1992-11-03,0.3998191028324174,1,0.0061782992901378425,8,0.5065987715347492,1,0.06150233533887865,8,1.2855812699645432,0.1067796687023318
1992-11-17,0.3775922568214699,1,0.03146594622480381,9,0.5283772724043314,1,0.09299719348118352,9,1.2729629106786335,0.1507850155828615
1992-12-02,0.36323703553426356,1,0.019271574300827723,3,0.5138492417034621,1,0.08892854330727334,3,1.3578477783378988,0.15061220616919857
1992-12-16,0.3506921392626636,1,0.010039716536069443,9,0.4997673957905012,1,0.17528129672224,2,1.365209351414437,0.1490752565278376
1992-12-31,0.34669098743654436,1,0.010764920535967587,3,0.5023413809083778,1,0.04939074344491862,3,1.3848833003110006,0.1556503934718334
1993-01-15,0.3408414517162371,1,0.021401654809329568,3,0.4822210688465554,1,0.12174321686665322,3,1.4057958251340417,0.14137961713031832
1993-01-29,0.262278740115523,1,0.006003670140382347,23,0.5006847854183656,1,0.023532175295589236,8,1.38294039975751,0.2384060453028426
1993-02-12,0.26981770198668675,1,0.010421596473244032,4,0.4983346535154035,1,0.0466633004339124,6,1.3850334995336253,0.22851695152871676
1993-03-01,0.2570132328656954,1,0.01668326659901516,11,0.5133993932838569,1,0.05158194402835191,6,1.3984349933199736,0.2563861604181615
1993-03-15,0.20868394980477917,1,0.01147586972103981,8,0.511892764069478,1,0.052534370549639664,8,1.4133806116428422,0.30320881426469887
1993-03-29,0.1695975118129322,1,0.014791655559581576,3,0.5328722514617953,1,0.03033133215710135,8,1.4138318420500464,0.3632747396488631
1993-04-13,0.1574277375919337,4,0.021210601723938474,9,0.5175033393386838,1,0.03193313739929576,9,2.361535647432927,0.1504603079920466
1993-04-27,0.11554546282005422,2,0.015053146349059979,12,0.48264277897170865,1,0.032544108918095685,12,1.9400948435594418,0.279845933922092
1993-05-11,0.09686704987850091,2,0.001853923643062444,26,0.48737344278400657,1,0.009155938503901395,14,1.9417222852062461,0.29018375712167627
1993-05-25,0.08680438560266167,6,0.0032615883432800252,13,0.4668383199240681,1,0.025084498172261507,6,2.7931139886943774,0.14985314461255278
1993-06-09,0.08225303166099934,2,0.005040109423730121,9,0.44951780931299623,1,0.020667406964853446,9,1.8911129774284618,0.2852791519054321
1993-06-23,0.0911513657582553,3,0.0016975254478910073,28,0.4389170219278236,1,0.011193421988498056,8,2.3438357187325445,0.2341876052137676
1993-07-08,0.08616620610901309,3,0.00016067722392196226,29,0.43135267189328175,1,0.00792894975061885,9,2.34422960740147,0.2263192302024008
1993-07-22,0.09274771701867339,3,-0.0009033159285100345,29,0.4257098831921155,1,0.01487615923319327,6,2.3209146258542366,0.21758581412781924
1993-08-05,0.0874175551759305,4,-0.0003739230930133314,28,0.4269941224147299,1,0.005165882175049263,11,2.6268690434176283,0.19371070019674322
1993-08-19,0.09097717254180906,3,0.002648272343044447,10,0.42537230782681135,1,0.01862755438265587,10,2.3365217283966127,0.22911051343534197
1993-09-02,0.09067618986286143,3,0.0008560800205942715,28,0.41840979079829566,1,0.003328243505306444,20,2.3296329848833444,0.2317134274674062
1993-09-17,0.09700729525791886,1,0.0008043375136625175,29,0.4191098230253645,1,0.0016598874245590672,28,1.405502980649358,0.32210252776744563
1993-10-01,0.09839621436242577,1,0.00019472128498188024,25,0.41296977014296127,1,0.00993580744969974,17,1.4047842767809884,0.3145735557805355
