Regime,Null_Model,B,CEFI_obs,q_obs,Mean_0,Q95_0,z_dev,p_raw,modal_q_0,p_Holm
Calm Period (2005),H0_circ,999,0.9847891125452505,3,0.027971688145071866,0.06160394057222916,45.98099495776478,0.001,29,
Calm Period (2005),H0_diag,999,0.9847891125452505,3,0.012334321592373533,0.017147743283335494,350.3430135746272,0.001,29,
Calm Period (2005),H0_static,9999,0.9847891125452505,3,0.8586929315106117,1.1494320772005295,0.8494131586511513,0.194,2,0.388
Calm Period (2005),H0_diag+contemp,9999,0.9847891125452505,3,1.0254773343095647,1.2227981396410714,-0.3483947089782482,0.6215,3,0.6215
2008 GFC Peak,H0_circ,999,1.894761272342464,2,0.061792954746118206,0.16215584448958123,35.34619901556057,0.001,29,
2008 GFC Peak,H0_diag,999,1.894761272342464,2,0.0582889927318521,0.11524408205125251,53.918847541448606,0.001,1,
2008 GFC Peak,H0_static,9999,1.894761272342464,2,1.3711686596804895,1.6857372217220143,3.160489414656273,0.0014,2,0.0042
2008 GFC Peak,H0_diag+contemp,9999,1.894761272342464,2,1.4832283007190614,1.6436761748719337,4.57327033287053,0.0001,3,0.0006000000000000001
2020 COVID Shock,H0_circ,999,1.8787130950039819,2,0.03338083796969567,0.10584737207982693,50.4727691913405,0.001,1,
2020 COVID Shock,H0_diag,999,1.8787130950039819,2,0.0014678871448322373,0.003455625380004991,966.7754045622241,0.001,29,
2020 COVID Shock,H0_static,9999,1.8787130950039819,2,1.315385486601663,1.5831445009416085,2.947927388439367,0.0001,2,0.0006000000000000001
2020 COVID Shock,H0_diag+contemp,9999,1.8787130950039819,2,1.3976675840393555,1.5197285965093543,6.222303307353802,0.0001,3,0.0006000000000000001
