date,q_star
1991-12-20,1
1991-12-24,1
1991-12-27,1
1991-12-31,1
1992-01-03,1
1992-01-07,1
1992-01-09,1
1992-01-13,1
1992-01-15,1
1992-01-17,1
1992-01-21,1
1992-01-23,1
1992-01-27,1
1992-01-29,1
1992-01-31,1
1992-02-04,1
1992-02-06,1
1992-02-10,1
1992-02-12,1
1992-02-14,1
1992-02-19,1
1992-02-21,1
1992-02-25,1
1992-02-27,1
1992-03-02,1
1992-03-04,1
1992-03-06,1
1992-03-10,1
1992-03-12,1
1992-03-16,1
1992-03-18,1
1992-03-20,1
1992-03-24,1
1992-03-26,1
1992-03-30,1
1992-04-01,1
1992-04-03,1
1992-04-07,1
1992-04-09,1
1992-04-13,1
1992-04-15,1
1992-04-20,1
1992-04-22,1
1992-04-24,1
1992-04-28,1
1992-04-30,1
1992-05-04,1
1992-05-06,1
1992-05-08,1
1992-05-12,1
1992-05-14,1
1992-05-18,1
1992-05-20,1
1992-05-22,1
1992-05-27,1
1992-05-29,1
1992-06-02,1
1992-06-04,1
1992-06-08,1
1992-06-10,1
1992-06-12,1
1992-06-16,1
1992-06-18,1
1992-06-22,1
1992-06-24,1
1992-06-26,1
1992-06-30,1
1992-07-02,1
1992-07-07,1
1992-07-09,1
1992-07-13,1
1992-07-15,1
1992-07-17,1
1992-07-21,1
1992-07-23,1
1992-07-27,1
1992-07-29,1
1992-07-31,1
1992-08-04,1
1992-08-06,1
1992-08-10,1
1992-08-12,1
1992-08-14,1
1992-08-18,1
1992-08-20,1
1992-08-24,1
1992-08-26,1
1992-08-28,1
1992-09-01,1
1992-09-03,1
1992-09-08,1
1992-09-10,1
1992-09-14,1
1992-09-16,1
1992-09-18,1
1992-09-22,1
1992-09-24,1
1992-09-28,1
1992-09-30,1
1992-10-02,1
1992-10-06,1
1992-10-08,1
1992-10-12,1
1992-10-14,1
1992-10-16,1
1992-10-20,1
1992-10-22,1
1992-10-26,1
1992-10-28,1
1992-10-30,1
1992-11-03,1
1992-11-05,1
1992-11-09,1
1992-11-11,1
1992-11-13,1
1992-11-17,1
1992-11-19,1
1992-11-23,1
1992-11-25,1
1992-11-30,1
1992-12-02,1
1992-12-04,1
1992-12-08,1
1992-12-10,1
1992-12-14,1
1992-12-16,1
1992-12-18,1
1992-12-22,1
1992-12-24,1
1992-12-29,1
1992-12-31,1
1993-01-05,1
1993-01-07,1
1993-01-11,1
1993-01-13,1
1993-01-15,1
1993-01-19,1
1993-01-21,1
1993-01-25,1
1993-01-27,1
1993-01-29,1
1993-02-02,1
1993-02-04,1
1993-02-08,1
1993-02-10,1
1993-02-12,1
1993-02-17,1
1993-02-19,1
1993-02-23,1
1993-02-25,1
1993-03-01,1
1993-03-03,1
1993-03-05,1
1993-03-09,1
1993-03-11,1
1993-03-15,1
1993-03-17,1
1993-03-19,1
1993-03-23,1
1993-03-25,1
1993-03-29,1
1993-03-31,1
1993-04-02,1
1993-04-06,1
1993-04-08,1
1993-04-13,1
1993-04-15,1
1993-04-19,1
1993-04-21,1
1993-04-23,1
1993-04-27,1
1993-04-29,1
1993-05-03,1
1993-05-05,1
1993-05-07,1
1993-05-11,1
1993-05-13,1
1993-05-17,1
1993-05-19,1
1993-05-21,1
1993-05-25,1
