Regime,Null_Model,B,CEFI_obs,q_obs,Mean_0,Q95_0,z_dev,p_raw,modal_q_0,p_Holm
Calm Period (2005),H0_circ,999,0.2023210016148188,1,0.07080610701490646,0.2094449185289862,1.9391254609537174,0.063,2,
Calm Period (2005),H0_diag,999,0.2023210016148188,1,0.012822062454058297,0.03896983066971501,15.048141890784384,0.001,1,
Calm Period (2005),H0_static,9999,0.2023210016148188,1,0.15000867685715727,0.225335963216272,1.2631458605042043,0.116,1,0.34800000000000003
Calm Period (2005),H0_diag+contemp,9999,0.2023210016148188,1,0.16537134302414724,0.25044692812330416,0.7980807181303319,0.2059,1,0.4118
2008 GFC Peak,H0_circ,999,0.3656304333698994,1,0.18079578639087832,0.3641745834058554,1.5621718334829806,0.049,2,
2008 GFC Peak,H0_diag,999,0.3656304333698994,1,0.035554981983664566,0.0691482045254921,18.084937333637885,0.001,1,
2008 GFC Peak,H0_static,9999,0.3656304333698994,1,0.2774479710298123,0.3713648774695939,1.7003132993984273,0.0587,1,0.28600000000000003
2008 GFC Peak,H0_diag+contemp,9999,0.3656304333698994,1,0.28780661756292597,0.3694879735113558,1.6986162849551327,0.0572,1,0.28600000000000003
2020 COVID Shock,H0_circ,999,0.33419776443703075,2,0.14658847797021912,0.2640058609535414,2.896758328681994,0.004,1,
2020 COVID Shock,H0_diag,999,0.33419776443703075,2,0.04884703136516951,0.09268307050538147,11.542557512693135,0.001,1,
2020 COVID Shock,H0_static,9999,0.33419776443703075,2,0.22128994143425693,0.3070418600117409,2.404576269180124,0.0182,1,0.1092
2020 COVID Shock,H0_diag+contemp,9999,0.33419776443703075,2,0.3007868007096656,0.4138913863501653,0.5273876173566666,0.2893,1,0.4118
